iter	RMSE
0	12.03197462
1	11.77402792
2	11.52152939
3	11.29011367
4	11.08217596
5	10.88224303
6	10.69502019
7	10.50132825
8	10.34326292
9	10.17673743
10	10.02521795
11	9.899595193
12	9.767956318
13	9.63782512
14	9.518043143
15	9.393402353
16	9.275587153
17	9.1789597
18	9.08131936
19	8.988220714
20	8.898109962
21	8.813225239
22	8.743081156
23	8.673117667
24	8.605686467
25	8.54670676
26	8.485938634
27	8.418179563
28	8.364307169
29	8.302449026
30	8.248076406
31	8.195441227
32	8.138383955
33	8.085934833
34	8.038501513
35	7.994027071
36	7.946394586
37	7.906551207
38	7.866708037
39	7.83143989
40	7.798662694
41	7.768387549
42	7.737444622
43	7.700765048
44	7.671745619
45	7.652462996
46	7.630737699
47	7.607430942
48	7.582688455
49	7.562147947
50	7.556716459
51	7.528628796
52	7.511442474
53	7.50217991
54	7.486057702
55	7.468975493
56	7.452344634
57	7.434723762
58	7.410188589
59	7.405746877
60	7.391902882
61	7.375848152
62	7.365229706
63	7.352288556
64	7.344837977
65	7.341176758
66	7.338933257
67	7.315933984
68	7.307697926
69	7.304453316
70	7.294571717
71	7.286973153
72	7.284287903
73	7.272219405
74	7.261768175
75	7.260069851
76	7.254983587
77	7.228730404
78	7.226030136
79	7.209559448
80	7.202116221
81	7.184024245
82	7.166491093
83	7.151299334
84	7.137027793
85	7.123521074
86	7.120902669
87	7.11047192
88	7.107922716
89	7.102190174
90	7.100276489
91	7.092067385
92	7.090710984
93	7.078606612
94	7.061845586
95	7.061845431
96	7.050395278
97	7.049394958
98	7.047147914
99	7.0348344
100	7.030198351
101	7.021068779
102	7.004313612
103	6.996072062
104	6.996027154
105	6.991511974
106	6.98307879
107	6.967748739
108	6.965946367
109	6.961077477
110	6.954080744
111	6.953101422
112	6.944844547
113	6.93622987
114	6.925311687
115	6.925142866
116	6.913312236
117	6.903082069
118	6.89010171
119	6.877451001
120	6.864517974
121	6.858976152
122	6.85849467
123	6.857185307
124	6.840413691
125	6.82696595
126	6.823063174
127	6.815712089
128	6.806458232
129	6.800649521
130	6.799480224
131	6.790071887
132	6.784538377
133	6.782873356
134	6.776245515
135	6.769368409
136	6.760852812
137	6.752460325
138	6.745098429
139	6.732951839
140	6.727902051
141	6.723924104
142	6.712581779
143	6.7057708
144	6.700787244
145	6.692206815
146	6.683867802
147	6.679918276
148	6.677740442
149	6.670324577
150	6.666612761
151	6.665316856
152	6.654492009
153	6.651758221
154	6.64926434
155	6.646125429
156	6.645884859
157	6.634615229
158	6.625217149
159	6.621100422
160	6.620381258
161	6.604557774
162	6.600816608
163	6.596236323
164	6.587084307
165	6.581287064
166	6.574142833
167	6.567103968
168	6.555592803
169	6.552571746
170	6.544274528
171	6.54158689
172	6.534441719
173	6.527884827
174	6.523207172
175	6.513707239
176	6.512734442
177	6.512267171
178	6.511935854
179	6.499024249
180	6.49467795
181	6.49406984
182	6.486302067
183	6.473904518
184	6.470102294
185	6.461059803
186	6.460615992
187	6.45728887
188	6.449403297
189	6.447485683
190	6.438240671
191	6.436175671
192	6.424086851
193	6.42343803
194	6.416358895
195	6.41522247
196	6.413606841
197	6.407610864
198	6.404244888
199	6.402812664
200	6.402343523
201	6.40205975
202	6.395305166
203	6.386536095
204	6.380687632
205	6.379851524
206	6.376945567
207	6.365747007
208	6.358370677
209	6.355720534
210	6.353238368
211	6.349486809
212	6.347588367
213	6.345520397
214	6.34081364
215	6.339314086
216	6.338564973
217	6.338251025
218	6.331150037
219	6.326381585
220	6.318936481
221	6.309338531
222	6.304147462
223	6.297291364
224	6.285212198
225	6.283408141
226	6.274864585
227	6.271666943
228	6.261904553
229	6.258864881
230	6.254903948
231	6.244985051
232	6.236642033
233	6.232008824
234	6.223256609
235	6.217994609
236	6.204427501
237	6.202644909
238	6.188100345
239	6.18213515
240	6.180150941
241	6.177365854
242	6.173124389
243	6.164479685
244	6.157266164
245	6.146850995
246	6.143737144
247	6.136039699
248	6.130922567
249	6.119389222
250	6.113628831
251	6.101337447
252	6.099741531
253	6.09286828
254	6.088995814
255	6.077172253
256	6.069805668
257	6.066400586
258	6.055528893
259	6.047032416
260	6.041726405
261	6.031805333
262	6.025711896
263	6.018971346
264	6.013403192
265	6.006551456
266	5.998129994
267	5.995955302
268	5.98874834
269	5.983664786
270	5.977078034
271	5.975005248
272	5.967024354
273	5.958007929
274	5.954724236
275	5.95189868
276	5.94982753
277	5.942532389
278	5.935116128
279	5.928593139
280	5.921680706
281	5.91920617
282	5.912558012
283	5.904323288
284	5.898600522
285	5.897739878
286	5.892359232
287	5.885001565
288	5.879020884
289	5.876684724
290	5.873736362
291	5.867458846
292	5.861624301
293	5.856490064
294	5.853317835
295	5.847564477
296	5.842116251
297	5.835078785
298	5.827167001
299	5.82323179
300	5.815694276
301	5.809842635
302	5.802576634
303	5.794692555
304	5.787067029
305	5.781111459
306	5.780933718
307	5.774852557
308	5.769608077
309	5.762373254
310	5.756754679
311	5.756580939
312	5.747936055
313	5.742849848
314	5.740244767
315	5.736772078
316	5.731402214
317	5.725481983
318	5.725314848
319	5.718516377
320	5.714102609
321	5.708653698
322	5.702472195
323	5.702312947
324	5.695136329
325	5.687859555
326	5.686358325
327	5.686202111
328	5.68074601
329	5.680593518
330	5.67562763
331	5.671708462
332	5.666282544
333	5.66096671
334	5.65281955
335	5.645962502
336	5.645812357
337	5.640153286
338	5.631578157
339	5.628361378
340	5.622896675
341	5.616156832
342	5.613646603
343	5.608366129
344	5.605041442
345	5.597587583
346	5.589670548
347	5.584706206
348	5.582700897
349	5.582555888
350	5.578696955
351	5.574074709
352	5.573936761
353	5.573802239
354	5.570566608
355	5.566023878
356	5.559849769
357	5.556255025
358	5.552041211
359	5.544567451
360	5.539380908
361	5.53265469
362	5.532524826
363	5.526261649
364	5.519874068
365	5.515974543
366	5.511369206
367	5.50544517
368	5.498484629
369	5.493186551
370	5.488726571
371	5.488598713
372	5.484515
373	5.484390597
374	5.480845134
375	5.475674362
376	5.467929833
377	5.46549227
378	5.460612055
379	5.460489696
380	5.460370747
381	5.460254756
382	5.460141272
383	5.45137598
384	5.446422805
385	5.442741663
386	5.442630313
387	5.437573435
388	5.430966307
389	5.427406255
390	5.427297529
391	5.42125532
392	5.418529297
393	5.41379613
394	5.410982709
395	5.405548393
396	5.401183286
397	5.394671566
398	5.393459318
399	5.387945084
400	5.383960884
401	5.37992565
402	5.376114245
403	5.376013791
404	5.372941985
405	5.369560096
406	5.367144692
407	5.359269845
408	5.351825327
409	5.346925663
410	5.345569191
411	5.343524392
412	5.339276162
413	5.333851305
414	5.332261002
415	5.327259168
416	5.323132733
417	5.321120741
418	5.317985046
419	5.31145579
420	5.308433773
421	5.306927462
422	5.302582239
423	5.301078205
424	5.298950944
425	5.294891653
426	5.293068714
427	5.287292185
428	5.279564964
429	5.276486644
430	5.274437876
431	5.270025933
432	5.266590003
433	5.264158552
434	5.26317765
435	5.258376187
436	5.252369933
437	5.249898374
438	5.248074276
439	5.247151381
440	5.243416691
441	5.242048439
442	5.2385535
443	5.235136242
444	5.231147526
445	5.226011423
446	5.224017964
447	5.219522967
448	5.218665803
449	5.217003392
450	5.212722476
451	5.209821282
452	5.203826444
453	5.202558811
454	5.199180246
455	5.19248912
456	5.188831009
457	5.187269697
458	5.184155247
459	5.182656942
460	5.176197108
461	5.173149278
462	5.167846482
463	5.164445753
