iter	Passed	Remaining
0	3	6246
1	6	6326
2	9	6063
3	13	6531
4	15	6204
5	18	6241
6	21	6263
7	24	6093
8	27	6018
9	29	5865
10	32	5798
11	34	5758
12	37	5727
13	40	5758
14	43	5713
15	45	5697
16	48	5706
17	51	5646
18	54	5714
19	57	5722
20	60	5672
21	62	5647
22	65	5669
23	69	5693
24	72	5702
25	75	5721
26	79	5783
27	82	5842
28	85	5815
29	88	5803
30	90	5773
31	93	5724
32	96	5757
33	99	5755
34	102	5755
35	105	5735
36	107	5692
37	110	5709
38	113	5720
39	116	5699
40	118	5654
41	121	5679
42	124	5657
43	126	5631
44	129	5621
45	132	5614
46	135	5611
47	138	5614
48	140	5598
49	143	5577
50	146	5585
51	148	5575
52	151	5547
53	153	5543
54	156	5523
55	158	5491
56	160	5478
57	163	5467
58	165	5449
59	168	5463
60	172	5468
61	174	5466
62	177	5463
63	181	5481
64	183	5469
65	185	5443
66	187	5399
67	189	5383
68	192	5382
69	194	5365
70	197	5358
71	200	5376
72	203	5363
73	206	5369
74	210	5393
75	211	5345
76	213	5320
77	215	5307
78	216	5267
79	219	5268
80	221	5253
81	223	5233
82	226	5232
83	229	5241
84	231	5222
85	235	5237
86	238	5251
87	242	5261
88	243	5230
89	245	5219
90	247	5187
91	249	5183
92	252	5174
93	254	5159
94	257	5154
95	259	5141
96	261	5132
97	263	5115
98	266	5107
99	269	5128
100	272	5125
101	274	5114
102	277	5110
103	279	5090
104	280	5062
105	282	5051
106	285	5053
107	288	5051
108	290	5038
109	292	5032
110	294	5018
111	297	5011
112	299	5008
113	302	5008
114	305	5013
115	306	4981
116	308	4968
117	311	4967
118	314	4973
119	318	4988
120	320	4984
121	323	4981
122	324	4959
123	328	4964
124	331	4968
125	333	4966
126	337	4971
127	339	4958
128	342	4972
129	344	4961
130	346	4945
131	349	4949
132	352	4946
133	354	4940
134	357	4942
135	359	4933
136	362	4925
137	364	4919
138	368	4932
139	371	4938
140	375	4944
141	378	4950
142	381	4957
143	384	4954
144	387	4955
145	389	4943
146	392	4943
147	394	4933
148	398	4946
149	401	4957
150	404	4958
151	407	4955
152	410	4959
153	413	4956
154	415	4950
155	417	4939
156	418	4916
157	420	4906
158	423	4903
159	425	4896
160	428	4889
161	431	4893
162	434	4894
163	437	4893
164	441	4909
165	444	4908
166	446	4904
167	449	4906
168	452	4903
169	454	4895
170	457	4892
171	459	4883
172	462	4884
173	465	4883
174	467	4874
175	469	4868
176	472	4866
177	473	4849
178	474	4829
179	477	4831
180	481	4842
181	483	4828
182	486	4828
183	489	4829
184	491	4822
185	493	4816
186	497	4825
187	499	4818
188	503	4820
189	506	4823
190	508	4819
191	511	4812
192	513	4811
193	516	4812
194	519	4813
195	522	4811
196	524	4804
197	527	4804
198	530	4801
199	532	4796
200	534	4786
201	537	4783
202	539	4778
203	542	4776
204	546	4782
205	548	4775
206	550	4766
207	553	4765
208	555	4757
209	558	4759
210	561	4758
211	564	4757
212	566	4752
213	569	4749
214	572	4749
215	574	4743
216	576	4740
217	579	4736
218	581	4730
219	584	4726
220	587	4730
221	589	4722
222	592	4723
223	596	4731
224	599	4729
225	604	4741
226	607	4745
227	610	4745
228	613	4746
229	616	4747
230	620	4751
231	623	4748
232	626	4747
233	629	4754
234	632	4753
235	635	4748
236	638	4751
237	641	4752
238	644	4749
239	647	4747
240	650	4744
241	653	4745
242	655	4741
243	658	4736
244	661	4739
245	664	4734
246	667	4734
247	670	4737
248	673	4734
249	675	4731
250	678	4727
251	681	4724
252	684	4725
253	686	4721
254	689	4720
255	692	4718
256	696	4722
257	698	4719
258	702	4719
259	704	4715
260	707	4710
261	709	4704
262	711	4701
263	714	4699
264	717	4694
265	720	4694
266	722	4690
267	724	4684
268	728	4685
269	730	4683
270	733	4679
271	735	4675
272	738	4669
273	741	4670
274	744	4669
275	746	4662
276	748	4657
277	751	4655
278	753	4650
279	757	4650
280	759	4646
281	761	4640
282	764	4641
283	768	4643
284	771	4640
285	774	4643
286	777	4640
287	780	4638
288	783	4639
289	786	4637
290	788	4631
291	791	4628
292	794	4629
293	796	4624
294	799	4620
295	802	4618
296	804	4613
297	807	4611
298	809	4606
299	812	4605
300	815	4603
301	819	4607
302	822	4604
303	825	4605
304	828	4604
305	831	4603
306	834	4599
307	836	4597
308	839	4595
309	842	4592
310	845	4590
311	849	4594
312	852	4594
313	855	4593
314	859	4596
315	862	4595
316	866	4601
317	869	4601
318	873	4602
319	875	4598
320	878	4595
321	881	4596
322	884	4593
323	887	4589
324	889	4586
325	892	4584
326	895	4580
327	897	4574
328	899	4570
329	901	4562
330	904	4558
331	907	4558
332	910	4556
333	913	4555
334	916	4552
335	918	4550
336	922	4551
337	925	4549
338	927	4546
339	931	4549
340	934	4544
341	936	4540
342	939	4537
343	942	4536
344	944	4532
345	947	4529
346	951	4532
347	954	4532
348	958	4532
349	960	4529
350	963	4524
351	965	4522
352	968	4518
353	970	4514
354	973	4513
355	976	4510
356	979	4508
357	983	4508
358	985	4505
359	988	4503
360	992	4507
361	995	4506
362	998	4504
363	1001	4499
364	1003	4496
365	1006	4493
366	1008	4489
367	1011	4487
368	1014	4483
369	1016	4479
370	1019	4475
371	1022	4474
372	1026	4476
373	1030	4479
374	1033	4477
375	1036	4476
376	1039	4473
377	1041	4470
378	1044	4466
379	1047	4465
380	1049	4461
381	1052	4456
382	1055	4455
383	1058	4452
384	1061	4453
385	1064	4452
386	1067	4450
387	1070	4446
388	1073	4447
389	1076	4444
390	1079	4440
391	1081	4437
392	1084	4436
393	1088	4435
394	1091	4433
395	1094	4433
396	1096	4429
397	1100	4427
398	1102	4424
399	1105	4421
400	1108	4420
401	1111	4417
402	1114	4415
403	1118	4417
404	1121	4415
405	1123	4412
406	1126	4408
407	1129	4408
408	1132	4405
409	1135	4403
410	1138	4403
411	1141	4399
412	1144	4397
413	1147	4396
414	1151	4396
415	1153	4393
416	1156	4391
417	1160	4391
418	1163	4390
419	1166	4386
420	1169	4385
421	1172	4384
422	1175	4381
423	1177	4377
424	1181	4376
425	1184	4375
426	1186	4370
427	1189	4367
428	1192	4365
429	1194	4361
430	1196	4357
431	1200	4356
432	1203	4354
433	1205	4350
434	1208	4347
435	1211	4345
436	1214	4342
437	1217	4342
438	1221	4343
439	1224	4341
440	1227	4340
441	1230	4338
442	1234	4337
443	1237	4335
444	1240	4333
445	1243	4331
446	1246	4331
447	1249	4328
448	1252	4327
449	1255	4324
450	1258	4323
451	1261	4320
452	1263	4314
453	1267	4315
454	1270	4313
455	1273	4311
456	1276	4309
457	1278	4306
458	1281	4301
459	1285	4303
460	1288	4302
461	1293	4305
462	1296	4303
463	1299	4302
464	1302	4299
465	1304	4295
466	1308	4296
467	1311	4293
468	1314	4292
469	1318	4290
470	1320	4287
471	1323	4285
472	1327	4285
473	1331	4285
474	1334	4282
475	1336	4280
476	1339	4277
477	1342	4273
478	1344	4268
479	1346	4264
480	1350	4264
481	1353	4262
482	1356	4260
483	1359	4257
484	1361	4253
485	1364	4251
486	1367	4248
487	1370	4245
488	1374	4245
489	1376	4241
490	1378	4237
491	1380	4232
492	1384	4231
493	1387	4230
494	1390	4227
495	1392	4222
496	1396	4222
497	1399	4219
498	1401	4216
499	1404	4213
500	1407	4211
501	1409	4207
502	1412	4203
503	1414	4199
504	1418	4197
505	1421	4198
506	1424	4194
507	1427	4193
508	1430	4189
509	1433	4186
510	1435	4182
511	1439	4182
512	1442	4181
513	1444	4177
514	1448	4176
515	1451	4173
516	1454	4172
517	1457	4170
518	1460	4167
519	1463	4164
520	1465	4161
521	1468	4159
522	1472	4157
523	1474	4152
524	1477	4151
525	1480	4148
526	1484	4149
527	1487	4147
528	1490	4144
529	1493	4141
530	1495	4137
531	1498	4135
532	1501	4132
533	1504	4129
534	1507	4126
535	1509	4123
536	1512	4119
537	1515	4117
538	1517	4113
539	1521	4113
540	1523	4109
541	1526	4106
542	1529	4102
543	1531	4099
544	1534	4095
545	1536	4092
546	1539	4090
547	1542	4088
548	1545	4084
549	1548	4082
550	1551	4079
551	1554	4076
552	1556	4072
553	1558	4067
554	1561	4065
555	1564	4063
556	1567	4059
557	1569	4056
558	1571	4052
559	1574	4048
560	1577	4045
561	1579	4042
562	1582	4040
563	1586	4039
564	1589	4036
565	1593	4036
566	1596	4035
567	1599	4033
568	1602	4029
569	1605	4028
570	1609	4026
571	1612	4025
572	1615	4023
573	1618	4021
574	1621	4019
575	1623	4014
576	1626	4011
577	1629	4008
578	1632	4005
579	1635	4004
580	1637	3999
581	1640	3996
582	1643	3994
583	1646	3992
584	1648	3988
585	1651	3983
586	1653	3980
587	1656	3976
588	1659	3974
589	1661	3970
590	1664	3968
591	1666	3964
592	1669	3961
593	1672	3958
594	1674	3954
595	1678	3954
596	1682	3953
597	1685	3952
598	1688	3948
599	1690	3945
600	1693	3942
601	1696	3940
602	1700	3939
603	1703	3936
604	1706	3935
605	1709	3933
606	1712	3929
607	1715	3927
608	1718	3924
609	1720	3921
610	1723	3918
611	1725	3914
612	1728	3910
613	1731	3907
614	1734	3905
615	1736	3901
616	1739	3898
617	1742	3896
618	1745	3893
619	1747	3890
620	1750	3886
621	1753	3883
622	1756	3883
623	1759	3880
624	1762	3876
625	1765	3874
626	1767	3870
627	1770	3867
628	1773	3865
629	1777	3864
630	1779	3861
631	1782	3858
632	1785	3855
633	1788	3853
634	1791	3850
635	1793	3846
636	1796	3843
637	1799	3842
638	1802	3839
639	1805	3836
640	1808	3834
641	1811	3831
642	1815	3831
643	1817	3827
644	1820	3824
645	1823	3821
646	1826	3819
647	1828	3815
648	1832	3814
649	1834	3810
650	1837	3808
651	1841	3806
652	1844	3803
653	1846	3800
654	1849	3797
655	1852	3795
656	1855	3792
657	1857	3788
658	1860	3785
659	1863	3783
660	1866	3781
661	1868	3777
662	1872	3775
663	1875	3772
664	1878	3771
665	1880	3767
666	1883	3763
667	1888	3765
668	1890	3761
669	1893	3758
670	1895	3754
671	1898	3752
672	1901	3748
673	1904	3746
674	1907	3743
675	1910	3740
676	1912	3737
677	1914	3733
678	1916	3729
679	1919	3726
680	1922	3723
681	1924	3719
682	1927	3716
683	1930	3713
684	1932	3709
685	1934	3706
686	1938	3704
687	1941	3702
688	1944	3700
689	1947	3697
690	1950	3694
691	1954	3693
692	1957	3692
693	1961	3690
694	1963	3687
695	1966	3684
696	1969	3681
697	1972	3678
698	1974	3675
699	1977	3673
700	1980	3669
701	1982	3665
702	1985	3663
703	1987	3658
704	1990	3655
705	1992	3651
706	1995	3650
707	1998	3647
708	2002	3645
709	2005	3643
710	2008	3640
711	2010	3637
712	2014	3635
713	2017	3632
714	2020	3630
715	2022	3626
716	2025	3624
717	2027	3620
718	2030	3618
719	2033	3615
720	2036	3613
721	2038	3609
722	2042	3607
723	2045	3604
724	2048	3602
725	2050	3598
726	2053	3596
727	2056	3592
728	2059	3589
729	2061	3586
